Date,Year,Month,Day,Time,Country,Location,Operator,Operator_Type,Route,Type,Aboard,Fatalities,Fatality_Rate,Ground,Causes,Summary
1908-09-17,1908,September,Thursday,17:18,USA,"Fort Myer, Virginia",Military - U.S. Army,Military,Demonstration,Wright Flyer Iii,2,1,0.5,0,Mechanical Failure,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1912-07-12,1912,July,Friday,06:30,USA,"Atlanticity, New Jersey",Military - U.S. Navy,Military,Test Flight,Dirigible,5,5,1.0,0,Pilot Error,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
1913-08-06,1913,August,Wednesday,06:30,Canada,"Victoria, British Columbia, Canada",Private,Civilian,Unavailable,Curtiss Seaplane,1,1,1.0,0,Weather,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
1913-09-09,1913,September,Tuesday,18:30,Northern Mariana Islands,Over The North Sea,Military - German Navy,Military,Unavailable,Zeppelin L-1 (Airship),20,14,0.7,0,Mechanical Failure,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
1913-10-17,1913,October,Friday,10:30,Germany,"Near Johannisthal, Germany",Military - German Navy,Military,Unavailable,Zeppelin L-2 (Airship),30,30,1.0,0,Mechanical Failure,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
1915-03-05,1915,March,Friday,01:00,Belgium,"Tienen, Belgium",Military - German Navy,Military,Unavailable,Zeppelin L-8 (Airship),41,21,0.51,0,Collision/Impact,Crashed into trees while attempting to land after being shot down by British and French aircraft.
1915-09-03,1915,September,Friday,15:20,Germany,"Off Cuxhaven, Germany",Military - German Navy,Military,Unavailable,Zeppelin L-10 (Airship),19,19,1.0,0,Weather,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
1916-07-28,1916,July,Friday,15:20,Bulgaria,"Near Jambol, Bulgeria",Military - German Army,Military,Unavailable,Schutte-Lanz S-L-10 (Airship),20,20,1.0,0,Collision/Impact,"Crashed near the Black Sea, cause unknown."
1916-09-24,1916,September,Sunday,01:00,,"Billericay, England",Military - German Navy,Military,Unavailable,Zeppelin L-32 (Airship),22,22,1.0,0,Military Action,Shot down by British aircraft crashing in flames.
1916-10-01,1916,October,Sunday,23:45,Antigua and Barbuda,"Potters Bar, England",Military - German Navy,Military,Unavailable,Zeppelin L-31 (Airship),19,19,1.0,0,Military Action,Shot down in flames by the British 39th Home Defence Squadron.
1916-11-21,1916,November,Tuesday,23:45,Germany,"Mainz, Germany",Military - German Army,Military,Unavailable,Super Zeppelin (Airship),28,27,0.96,0,Weather,Crashed in a storm.
1916-11-28,1916,November,Tuesday,23:45,Western Sahara,"Off West Hartlepool, England",Military - German Navy,Military,Unavailable,Zeppelin L-34 (Airship),20,20,1.0,0,Collision/Impact,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
1917-03-04,1917,March,Sunday,23:45,Belgium,"Near Gent, Belgium",Military - German Army,Military,Unavailable,Airship,20,20,1.0,0,Collision/Impact,Caught fire and crashed.
1917-03-30,1917,March,Friday,23:45,Germany,Off Northern Germany,Military - German Navy,Military,Unavailable,Schutte-Lanz S-L-9 (Airship),23,23,1.0,0,Weather,Struck by lightning and crashed into the BaltiSea.
1917-05-14,1917,May,Monday,05:15,Åland Islands,"Near Texel Island, North Sea",Military - German Navy,Military,Unavailable,Zeppelin L-22 (Airship),21,21,1.0,0,Pilot Error,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
1917-06-14,1917,June,Thursday,08:45,Åland Islands,"Off Vlieland Island, North Sea",Military - German Navy,Military,Unavailable,Zeppelin L-43 (Airship),24,24,1.0,0,Military Action,Shot down by British aircraft.
1917-08-21,1917,August,Tuesday,07:00,Denmark,Off Western Denmark,Military - German Navy,Military,Unavailable,Zeppelin L-23 (Airship),18,18,1.0,0,Military Action,Shot down by British aircraft.
1917-10-20,1917,October,Saturday,07:45,France,"Near Luneville, France",Military - German Navy,Military,Unavailable,Zeppelin L-44 (Airship),18,18,1.0,0,Fire/Explosion,Shot down by French anti-aircraft fire.
1918-04-07,1918,April,Sunday,21:30,Northern Mariana Islands,Over The Mediterranean,Military - German Navy,Military,Unavailable,Zeppelin L-59 (Airship),23,23,1.0,0,Collision/Impact,Exploded and crashed into the sea off the southern coast of Italy.
1918-05-10,1918,May,Friday,21:30,Germany,"Off Helgoland Island, Germany",Military - German Navy,Military,Unavailable,Zeppelin L-70 (Airship),22,22,1.0,0,Military Action,"Shot down by British aircraft crashing from a height of 17,000 ft."
1918-08-11,1918,August,Sunday,10:00,Åland Islands,"Ameland Island, North Sea",Military - German Navy,Military,Unavailable,Zeppelin L-53 (Airship),19,19,1.0,0,Military Action,Shot down by british aircraft.
1918-12-16,1918,December,Monday,10:00,USA,"Elizabeth, New Jersey",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1919-05-25,1919,May,Sunday,10:00,USA,"Cleveland, Ohio",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Pilot Error,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
1919-07-19,1919,July,Saturday,10:00,USA,"Dix Run, Pennsylvania",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1919-10-02,1919,October,Thursday,10:00,,"Newcastle, England",Aircraft Transport And Travel,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1919-10-14,1919,October,Tuesday,10:00,USA,"Cantonsville, Maryland",Us Aerial Mail Service,Civilian,Unavailable,Curtiss R-4Lm,1,1,1.0,0,Unknown,No remark
1919-10-20,1919,October,Monday,10:00,,English Channel,Aircraft Transport And Travel,Civilian,Unavailable,De Havilland Dh-4,27,20,0.74,1,Unknown,No remark
1919-10-30,1919,October,Thursday,10:00,USA,"Long Valley, New Jersey",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh.4,1,1,1.0,0,Unknown,No remark
1920-03-10,1920,March,Wednesday,10:00,USA,"New Paris, Indiana",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1920-03-30,1920,March,Tuesday,10:00,USA,"Newark, New Jersey",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
